Control|POL|IMP|SCR|POL_Count|IMP_Count|SCR_Count|Status|Stack
A.5.3|0|0|0|0|0|0|REFERENCE|
A.5.7|1|1|1|1|5|10|FULL|
A.5.8|1|1|0|1|3|0|PARTIAL|
A.5.9|1|1|1|1|5|10|FULL|
A.5.12|0|0|0|0|0|0|REFERENCE|A.5.12-13
A.5.13|0|0|0|0|0|0|REFERENCE|A.5.12-13
A.5.14|0|0|0|0|0|0|REFERENCE|
A.5.15|1|1|1|1|5|10|FULL|A.5.15-16-18
A.5.16|0|0|0|0|0|0|REFERENCE|
A.5.17|0|0|0|0|0|0|REFERENCE|
A.5.18|0|0|0|0|0|0|REFERENCE|
A.5.19|1|1|1|7|5|6|FULL|A.5.19-23
A.5.23|1|1|1|7|5|6|FULL|A.5.19-23
A.5.24|0|0|0|0|0|0|REFERENCE|A.5.24-28
A.5.28|0|0|0|0|0|0|REFERENCE|A.5.24-28
A.5.30|1|0|1|1|0|6|BASIC|A.8.13-14-5.30
A.5.31|1|1|1|7|6|7|FULL|
A.5.33|0|0|0|0|0|0|REFERENCE|
A.5.34|1|1|1|1|4|4|FULL|
A.5.36|0|0|0|0|0|0|REFERENCE|
A.6.3|0|0|0|0|0|0|REFERENCE|
A.6.7|0|0|0|0|0|0|REFERENCE|A.6.7-8
A.6.8|0|0|0|0|0|0|REFERENCE|A.6.7-8
A.7.1|0|0|0|0|0|0|REFERENCE|A.7.1-2-3
A.7.2|0|0|0|0|0|0|REFERENCE|A.7.1-2-3
A.7.3|0|0|0|0|0|0|REFERENCE|A.7.1-2-3
A.7.4|1|1|1|1|4|4|FULL|A.7.4-5-11
A.7.5|1|1|1|1|4|4|FULL|A.7.4-5-11
A.7.6|0|0|0|0|0|0|REFERENCE|A.7.6-7-14
A.7.7|0|0|0|0|0|0|REFERENCE|A.7.6-7-14
A.7.8|0|0|0|0|0|0|REFERENCE|A.7.8-9
A.7.9|0|0|0|0|0|0|REFERENCE|A.7.8-9
A.7.10|0|0|0|0|0|0|REFERENCE|
A.7.11|1|1|1|1|4|4|FULL|A.7.4-5-11
A.7.12|0|0|0|0|0|0|REFERENCE|A.7.12-13
A.7.13|0|0|0|0|0|0|REFERENCE|A.7.12-13
A.7.14|0|0|0|0|0|0|REFERENCE|A.7.6-7-14
A.8.1|1|1|1|1|6|12|FULL|A.8.1-7-18-19
A.8.2|1|1|1|1|5|12|FULL|A.8.2-3-5
A.8.3|1|1|1|1|5|12|FULL|A.8.2-3-5
A.8.4|1|1|1|1|3|5|FULL|
A.8.5|1|1|1|1|5|12|FULL|A.8.2-3-5
A.8.6|1|1|1|1|3|6|FULL|
A.8.7|0|0|0|0|0|0|REFERENCE|
A.8.8|1|1|1|1|15|13|FULL|
A.8.9|1|1|1|1|5|6|FULL|
A.8.10|1|1|1|1|5|6|FULL|
A.8.11|1|1|1|1|5|6|FULL|
A.8.12|1|1|1|1|5|6|FULL|
A.8.13|0|0|0|0|0|0|REFERENCE|
A.8.14|0|0|0|0|0|0|REFERENCE|
A.8.15|1|1|1|1|5|5|FULL|
A.8.16|1|1|1|1|5|6|FULL|
A.8.17|1|1|1|2|2|5|FULL|
A.8.18|0|0|0|0|0|0|REFERENCE|
A.8.19|0|0|0|0|0|0|REFERENCE|
A.8.20|1|1|1|2|6|7|FULL|A.8.20-22
A.8.22|1|1|1|2|6|7|FULL|A.8.20-22
A.8.23|1|1|1|4|5|7|FULL|
A.8.24|1|1|1|1|5|16|FULL|
A.8.25|1|1|1|1|5|11|FULL|A.8.25-26-29
A.8.26|1|1|1|1|5|11|FULL|A.8.25-26-29
A.8.28|1|1|1|1|5|5|FULL|
A.8.29|1|1|1|1|5|11|FULL|A.8.25-26-29
A.8.31|1|1|1|1|3|4|FULL|
A.8.32|1|1|1|1|5|6|FULL|
